Imagen,Scene_coordinate_system,Area_px,Area_mm2,Perimetro_px,Perimetro_mm,Diametro_px,Diametro_mm,Escala_mm_por_px
xy003,-23.48485,2420,0.022770898415446578,227.15432751178741,0.6967924156803295,55.50891548444353,0.1702727468847961,0.003067484662576687
xy003,-23.48485,3336,0.03138996574955776,220.0660150051117,0.6750491257825513,65.17305517801435,0.19991734717182316,0.003067484662576687
xy003,-23.48485,3139,0.029536301704994546,252.16652035713196,0.7735169336108343,63.21945057435786,0.19392469501336768,0.003067484662576687
xy003,-23.48485,8193,0.07709172343708835,343.17871284484863,1.0526954381743823,102.13545706567915,0.31329894805423053,0.003067484662576687
xy003,-23.48485,3595,0.033827016447739854,275.0954524278641,0.8438510810670677,67.65571789082509,0.20753287696572112,0.003067484662576687
xy003,-23.48485,2330,0.021924046821483686,180.9533178806305,0.5550715272411978,54.46694538188211,0.1670765195763255,0.003067484662576687
xy003,-23.48485,2163,0.02035266664157477,185.9827550649643,0.5704992486655347,52.478730312976865,0.16097770034655481,0.003067484662576687
xy004,-22.9798,2280,0.021453573713726526,214.61017262935638,0.6583134129734859,53.87936675570873,0.16527413115248077,0.003067484662576687
xy004,-22.9798,2448,0.023034363355790587,184.36753046512604,0.5655445719789143,55.82911790017533,0.17125496288397343,0.003067484662576687
xy004,-22.9798,1971,0.018546049907787274,194.75230622291565,0.597399712340232,50.09546030004122,0.15366705613509576,0.003067484662576687
xy004,-22.9798,221,0.00207949113628665,58.14213538169861,0.17835010853281782,16.774562271083887,0.05145571248798739,0.003067484662576687
xy004,-22.9798,326,0.0030674846625766876,70.04163002967834,0.21485162585790904,20.37341629633241,0.06249514201328961,0.003067484662576687
xy004,-22.9798,2448,0.023034363355790587,193.6812390089035,0.594114230088661,55.82911790017533,0.17125496288397343,0.003067484662576687
xy004,-22.9798,1273,0.01197824532349731,149.15432822704315,0.4575286141933839,40.25958197060499,0.12349565021657972,0.003067484662576687
xy004,-22.9798,642,0.006040874703601943,100.66904664039612,0.3088007565656323,28.590554169515052,0.08770108640955537,0.003067484662576687
xy004,-22.9798,1224,0.011517181677895293,143.98275482654572,0.4416648921059685,39.477147854877245,0.12109554556710811,0.003067484662576687
xy004,-22.9798,5622,0.05289999623621514,281.42135417461395,0.8632556876521901,84.60586693900775,0.2595271991994103,0.003067484662576687
xy004,-22.9798,2457,0.023119048515186875,192.02438473701477,0.5890318550215177,55.93165080179821,0.17156948098711108,0.003067484662576687
xy004,-22.9798,2630,0.024746885468026652,200.99494743347168,0.6165489185075819,57.8672619246278,0.17750693841910367,0.003067484662576687
xy004,-22.9798,702,0.006605442432910536,109.25483345985413,0.3351375259504728,29.896724911001275,0.09170774512577079,0.003067484662576687
xy004,-22.9798,1111,0.01045391245436411,127.8406194448471,0.3921491394013715,37.61075822422045,0.11537042400067622,0.003067484662576687
xy004,-22.9798,3880,0.03650871316195567,247.01219284534454,0.7577061130225293,70.2863388829752,0.21560226651219389,0.003067484662576687
xy004,-22.9798,4676,0.043998645037449664,283.68123948574066,0.8701878511832536,77.16001627255933,0.23668716648024335,0.003067484662576687
xy004,-22.9798,3596,0.033836425909894996,223.13708341121674,0.6844695810160023,67.66512693306387,0.20756173905847813,0.003067484662576687
xy004,-22.9798,12614,0.11869095562497649,467.2619732618332,1.4333189363859915,126.73059463795371,0.38874415533114637,0.003067484662576687
xy004,-22.9798,1901,0.01788738755692725,166.85281193256378,0.5118184415109318,49.197849287764036,0.15091364812197558,0.003067484662576687
xy004,-22.9798,1697,0.015967857277278032,159.39696836471558,0.48894775571998644,46.48319596817296,0.14258649069991705,0.003067484662576687
xy004,-22.9798,906,0.008524972712559751,113.39696872234344,0.34784346233847685,33.96402549065787,0.10418412727195665,0.003067484662576687
xy004,-22.9798,4393,0.04133576724754413,268.6345582008362,0.8240323871191294,74.78864432533571,0.2294130194028703,0.003067484662576687
xy004,-22.9798,2262,0.021284203394933948,178.16652047634125,0.546523068945832,53.66626361310184,0.16462044053098723,0.003067484662576687
xy004,-22.9798,1744,0.016410101998569765,157.78174459934235,0.4839930815930747,47.12249745098538,0.14454753819320668,0.003067484662576687
xy004,-22.9798,5881,0.055337046934397234,294.048770070076,0.9019900922394969,86.53277854424583,0.26543797099461913,0.003067484662576687
xy004,-22.9798,1329,0.01250517520418533,141.15432786941528,0.4329887357957524,41.135572865258986,0.1261827388504877,0.003067484662576687
xy004,-22.9798,893,0.00840264970454289,117.01219248771667,0.35893310579054194,33.71947380147709,0.1034339687161874,0.003067484662576687
xy004,-22.9798,956,0.008995445820316911,123.5979790687561,0.37913490511888376,34.88863718700998,0.10702035946935576,0.003067484662576687
xy004,-22.9798,1552,0.014603485264782267,160.3675308227539,0.49192494117409175,44.45298385293132,0.13635884617463595,0.003067484662576687
