Imagen,Area,Perimetro,Diametro
xy009_v2,928,126.52691149711609,34.37391885593249
xy009_v2,601,94.9116872549057,27.66255531193445
xy009_v2,2307,208.85281360149384,54.19745039855676
xy009_v2,3019,211.53910374641418,61.999275685732464
xy009_v2,2527,208.65180218219757,56.72280255369754
xy009_v2,4085,245.96551072597504,72.11923141744607
xy009_v2,2919,212.79393708705902,60.96381083136077
xy009_v2,1441,145.84061920642853,42.83384390833222
xy009_v2,1928,173.49747323989868,49.54599723740954
xy009_v2,2233,183.58073461055756,53.3211393669867
xy009_v2,942,124.62741672992706,34.63223427878316
xy009_v2,904,118.81118154525757,33.92651689225682
xy009_v2,872,119.35533821582794,33.32063749403756
xy009_v2,806,115.69848394393921,32.03484154879717
xy009_v2,571,94.28427064418793,26.963304323539017
xy009_v2,576,100.38477599620819,27.081100010292303
xy009_v2,170,48.72792184352875,14.712264360219255
xy009_v2,4155,263.0365779399872,72.73451937267889
xy009_v2,12975,777.5290009975433,128.5312533702941
xy009_v2,6052,305.2203438282013,87.78180748160295
xy009_v2,12228,573.7056233882904,124.77649279019494
xy009_v2,2190,182.40916049480438,52.80525166089076
xy009_v2,1650,153.740114569664,45.83497844237541
xy009_v2,5075,322.89444279670715,80.38464212479242
xy009_v2,1809,165.35533821582794,47.99260710178089
xy009_v2,5603,296.0660152435303,84.4627797858389
xy009_v2,2003,182.42640626430511,50.50048324624756
xy009_v2,710,108.81118249893188,30.066594033278285
